Filename,ClassId
06981,16
09527,3
02247,13
01548,25
03229,15
03342,3
07766,12
01640,33
04267,3
04012,0
05358,4
00222,5
05906,4
00396,4
11747,14
10366,13
01151,3
06995,37
06039,1
01110,35
05451,15
08259,25
09788,1
10294,18
11598,5
10496,10
05460,8
03547,11
11863,11
09887,31
12103,4
04931,11
07269,8
05629,23
08022,7
00139,38
10390,18
08501,10
04833,22
06265,38
10621,14
04604,1
10430,12
06570,26
00283,26
04042,17
11604,16
02322,7
08571,17
02782,18
04960,7
04437,20
04356,13
01097,9
05434,4
02483,7
12030,7
02226,4
09495,8
01108,38
05320,15
05523,31
02218,42
12247,2
04556,9
07094,7
06018,5
02153,7
10972,13
05718,33
02612,25
10151,12
06131,1
01707,7
01085,8
03440,18
00238,4
07018,9
05776,7
07867,4
07950,11
07040,3
11905,38
05884,11
06921,36
03914,4
01755,5
06267,40
06775,12
05714,5
05759,4
11076,2
10902,3
12577,11
04964,14
01061,38
00538,10
04900,25
01377,3
07066,1
10178,15
06024,25
08460,22
01269,14
12288,2
01072,8
02416,38
00399,12
07728,9
12177,8
12055,1
07245,11
07884,29
04151,12
00863,2
10493,2
03549,10
00240,12
05456,11
06331,10
06515,38
11041,1
09136,24
04155,12
11983,2
11379,12
10056,39
11778,3
09227,17
00313,38
09553,27
10989,7
00115,3
07029,7
00653,5
10652,1
09044,4
04302,35
01205,29
09542,24
11241,1
03509,38
12138,3
08267,7
04570,0
00048,18
03032,38
02067,12
10008,33
01565,1
10811,23
02652,25
07841,3
11262,1
08021,34
08606,8
05077,28
02794,34
08999,35
09260,5
05757,7
03379,25
05483,7
09229,10
03590,7
03732,3
00517,1
10654,16
01495,34
05888,5
05104,2
03947,1
11240,38
10962,4
10761,31
01374,16
07899,1
03188,36
00673,35
12629,10
01758,36
10313,9
01142,3
07259,5
10458,7
08257,12
11164,1
07359,23
04334,8
07483,1
00465,38
02721,2
01196,14
04927,10
00097,38
11297,10
03624,11
03721,6
06803,1
10347,4
07432,17
10900,4
03938,32
12598,35
03121,8
11040,12
06166,36
00727,21
10568,8
01454,2
01352,25
01435,18
06548,12
02800,4
00895,5
02933,10
09362,2
07777,8
10103,12
10833,16
11130,16
05051,14
00891,13
00416,10
10206,40
02822,35
07725,11
02154,1
12056,3
10120,8
06134,15
07574,5
03625,25
03936,12
11434,13
01100,35
09211,9
06443,9
05370,5
10769,10
05397,35
11860,35
04863,15
06780,10
07260,5
02193,11
07831,4
11792,8
02150,11
03132,1
02071,12
12514,10
11165,2
06718,18
11830,30
05595,12
03588,25
07708,16
05225,6
12359,13
10851,10
00367,38
05992,40
11291,18
02524,10
00481,2
01734,2
01105,5
10782,18
12403,28
04265,15
07033,5
05015,3
08860,9
07071,3
01708,8
11875,2
03740,11
04542,12
12578,9
09337,13
01173,34
02319,7
07568,23
12377,18
08836,25
09114,25
03040,13
06251,17
00839,11
06616,42
07538,8
09714,38
08524,7
06416,10
09734,2
06219,6
05270,5
05468,2
12066,5
00496,30
12489,4
04969,13
11738,40
07316,23
10209,1
04629,7
05908,4
07317,8
10126,1
10395,5
11179,12
04085,7
08981,38
10966,8
04130,33
08592,4
09219,12
07257,2
02693,4
12173,4
10522,16
11319,35
04667,33
06020,2
10417,32
04991,39
01136,17
10044,9
11569,5
05964,1
04062,11
05866,16
02938,4
12446,10
11188,7
09902,4
06974,28
02346,5
03086,8
11483,34
11026,35
08201,5
01621,7
07834,13
12058,9
00669,4
02284,4
10690,2
10594,38
07464,8
01566,25
04720,7
03311,15
05141,12
12408,6
06627,1
10863,11
09243,7
09970,17
11614,14
11394,20
03562,5
06920,24
11557,5
03209,2
11017,8
06941,25
05893,18
02741,1
11987,9
04102,5
01830,7
11334,13
09808,24
08399,13
01118,3
11620,4
04757,14
12175,18
02898,15
02574,2
00269,18
03517,38
06328,8
09521,4
11049,12
12548,3
00561,10
04020,28
00176,5
03927,31
12557,3
02805,42
00146,2
00972,13
05900,16
11989,10
10923,2
00854,24
01042,12
00795,42
02841,38
01489,41
02542,10
07989,35
04787,8
06446,1
00470,8
08439,15
00394,1
12068,25
06565,9
10912,1
07557,11
01439,10
02551,9
03280,35
02232,15
06937,10
08944,26
05418,15
10102,17
00134,11
00290,1
03905,41
03079,17
12260,2
04225,8
02867,1
05143,13
10068,16
08137,3
05307,5
00189,8
03956,31
04186,20
12381,12
12373,9
05287,13
05261,38
01444,11
07828,35
00270,18
02321,3
06816,26
00668,11
02085,31
00303,14
02258,41
03619,2
09798,2
08487,6
08072,13
03999,4
06178,4
04206,10
09750,13
08232,1
01907,31
07578,25
03400,3
03573,10
11650,5
09882,26
01944,11
11303,11
01801,22
03302,1
00336,7
07134,12
02486,9
00920,12
05670,31
10671,2
07629,12
11611,4
12067,35
00690,5
03038,1
01310,5
08373,18
